"artists","keyword","playlist_id","playlist_name","playlist_owner","popularity","track_id","track_name"
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,42,2ZbiZiLdCTdmpm2MeHahH9,Pirómanos
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,38,6in2n3kS97zyW2DcWA8mTP,Las Salas de Espera
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,48,6ABlMXt8d4B8fpruavNje6,Cuarteles de Invierno
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,40,4Kb7quevLAKLIRQ212Wzay,Tour de Francia
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,47,7xTfGSZYNjhJgYCJhmTrNR,Una Sonata Fantasma
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,39,688r09NYmEAAQuTf9cOhrK,Canción de Vuelta
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,36,5SlecwS1uuR4ZoACF18jkF,Escudo Humano
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,42,34OPQqJ3orI9Dbfqs06qlc,Boca en la Tierra
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,41,07BliA31cExmlqaKI4ALds,El Hombre del Saco
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,42,6IDUaejli07AkWxGHzlFtI,Mapas
